"Major Department","Minor Department","Major Category","Minor Category",Item,UPC,"UPC Fixed",Description,"Case (LBS)","Landed Cost","Sale Price","Regular Price",Code,Stock,SKU,Category,Images,l,w,h,Pack,Size,Measure
"1 - GROCERY",CONDIMENTS,"10 - KETCHUP","997 - KETCHUP-FOODSERVICE BULK",886499,5700000332,057000003326,"HEINZ KETCUHP VOL-PAK",30.30,30.35,40.97,47.95,EDM,60,EDM886499,"Bulk Foods & Wholesale Grocery>CONDIMENTS",https://test.tgp.crs/item_images/886499/886499.jpg,13.10,9.60,7.10,1,11.3,LT
"1 - GROCERY",CONDIMENTS,"10 - KETCHUP","997 - KETCHUP-FOODSERVICE BULK",999847,5880738303,058807383031,"HUNTS KETCHUP",44.44,41.28,55.73,65.22,EDM,8,EDM999847,"Bulk Foods & Wholesale Grocery>CONDIMENTS",https://test.tgp.crs/item_images/999847/999847.jpg,18.70,12.60,7.00,6,2.84,LT
"1 - GROCERY",CONDIMENTS,"10 - KETCHUP","300 - KETCHUP-HEINZ 750ML-1LT",277947,5700001316,057000013165,"HZ EASY SQUEEZE KETCHUP",25.82,51.68,69.77,81.65,EDM,412,EDM277947,"Bulk Foods & Wholesale Grocery>CONDIMENTS",https://test.tgp.crs/item_images/277947/277947.jpg,13.30,11.90,8.30,12,750,ML
"1 - GROCERY",CONDIMENTS,"10 - KETCHUP","105 - KETCHUP-HEINZ 375ML",772475,5700024376,057000243760,"HZ KETCHUP",12.81,27.62,37.29,43.64,EDM,61,EDM772475,"Bulk Foods & Wholesale Grocery>CONDIMENTS",https://test.tgp.crs/item_images/772475/772475.jpg,12.20,7.20,6.90,12,375,ML
"1 - GROCERY",CONDIMENTS,"10 - KETCHUP","300 - KETCHUP-HEINZ 750ML-1LT",488296,5700000299,057000002992,"HZ KETCHUP 1LT",32.74,52.63,71.05,83.16,EDM,299,EDM488296,"Bulk Foods & Wholesale Grocery>CONDIMENTS",https://test.tgp.crs/item_images/488296/488296.jpg,12.80,11.90,10.20,12,1,LT
"1 - GROCERY",CONDIMENTS,"10 - KETCHUP","310 - KETCHUP-HEINZ 1.5LT",932053,5700006308,057000063085,"HZ KETCHUP FAMILY SIZE",49.00,72.56,97.96,114.64,EDM,151,EDM932053,"Bulk Foods & Wholesale Grocery>CONDIMENTS",https://test.tgp.crs/item_images/932053/932053.jpg,19.70,11.20,10.10,12,1.5,LT
"1 - GROCERY",CONDIMENTS,"10 - KETCHUP","300 - KETCHUP-HEINZ 750ML-1LT",748392,5700003857,057000038571,"HZ KETCHUP NO SUGAR ADDED",27.82,51.74,69.85,81.75,EDM,43,EDM748392,"Bulk Foods & Wholesale Grocery>CONDIMENTS",https://test.tgp.crs/item_images/748392/748392.jpg,13.30,11.90,8.40,12,750,ML
"1 - GROCERY",CONDIMENTS,"10 - KETCHUP","320 - KETCHUP-HEINZ ORGANIC",142240,5700071253,057000712532,"HZ KETCHUP ORG EASY SQZ",27.00,74.67,100.8,117.98,EDM,22,EDM142240,"Bulk Foods & Wholesale Grocery>CONDIMENTS",https://test.tgp.crs/item_images/142240/142240.jpg,13.30,11.90,8.30,12,750,ML
"1 - GROCERY",CONDIMENTS,"10 - KETCHUP","315 - KETCHUP-HEINZ TWIN",932061,5700061328,057000613280,"HZ KETCHUP TWIN PACK",42.20,51.35,69.32,81.13,EDM,101,EDM932061,"Bulk Foods & Wholesale Grocery>CONDIMENTS",https://test.tgp.crs/item_images/932061/932061.jpg,14.70,13.20,9.90,6,2.5,LT
"1 - GROCERY",CONDIMENTS,"10 - KETCHUP","995 - KETCHUP-FOODSERVICE",364927,1300051103,013000511032,"KRAFT HEINZ EASY PUMPS",1.00,2.35,3.17,3.71,EDM,61,EDM364927,"Bulk Foods & Wholesale Grocery>CONDIMENTS",,24.00,7.00,9.00,1,1,EA
