"Major Department","Minor Department","Major Category","Minor Category",Item,UPC,"UPC Fixed",Description,"Case (LBS)","Landed Cost","Sale Price","Regular Price",Code,Stock,SKU,Category,Images,l,w,h,Pack,Size,Measure
"1 - GROCERY",CLEANING,"46 - TOILET BOWL CLEANERS","120 - T BOWL CLEANR-LYSOL LIQ 710ML",6237374,5963134092,059631340924,"LYSOL TOILET CLNR REGULAR  710ML",16.82,26.46,35.72,41.81,EDM,170,EDM6237374,"Sanitation and janitorial>CLEANING::Restaurant & Commercial>CLEANING",https://test.tgp.crs/item_images/6237374/6237374.jpg,11.50,7.90,11.20,9,710,ML
"1 - GROCERY",CLEANING,"48 - DRAIN CLEANERS","330 - DRAIN CLN LRG DRANO LIQ CLOG",271569,5920000686,059200006862,"DRANO LIQUID CLOG REMOVER 900ML",30.62,33.80,45.63,53.4,EDM,22,EDM271569,"Sanitation and janitorial>CLEANING::Restaurant & Commercial>CLEANING",https://test.tgp.crs/item_images/271569/271569.jpg,13.80,12.40,11.30,12,900,ML
"1 - GROCERY",CLEANING,"51 - OVEN CLEANERS","200 - OVEN CLEAN SPEC EASYOFF",414110,6220000394,062200003946,"EASYOFF OVEN FUME/FREE/MX CLEANER",16.79,54.64,73.76,86.33,EDM,139,EDM414110,"Sanitation and janitorial>CLEANING::Restaurant & Commercial>CLEANING",https://test.tgp.crs/item_images/414110/414110.jpg,11.10,8.40,8.40,12,400,GR
"1 - GROCERY",CLEANING,"71 - SURFACE CLEANERS","280 - SURF CLNR WET SWIF SOLUTN",2471290,3700023680,037000236801,"SWFR WET JET SOLUTION LAV & VAN",12.12,17.42,23.52,27.52,EDM,126,EDM2471290,"Sanitation and janitorial>CLEANING::Restaurant & Commercial>CLEANING",https://test.tgp.crs/item_images/2471290/2471290.jpg,8.10,7.70,11.00,4,1.25,LT
"1 - GROCERY",CLEANING,"91 - CARPET CLEANERS","120 - CRPET CLN RESOLVE PUMP 650ML",6238877,5963148202,059631482020,"RESOLVE CARPET CLNR",20.61,33.69,45.48,53.23,EDM,55,EDM6238877,"Sanitation and janitorial>CLEANING::Restaurant & Commercial>CLEANING",https://test.tgp.crs/item_images/6238877/6238877.jpg,11.20,7.90,11.50,6,650,ML
"1 - GROCERY",CLEANING,"97 - FLOOR CLEANERS & WAXES","995 - FLR CLNR & WAXES FOODSERVICE",175083,3700002621,037000026211,"MR CLEAN FLOOR CLN 3/1GAL",29.56,43.16,58.27,68.19,EDM,20,EDM175083,"Sanitation and janitorial>CLEANING::Restaurant & Commercial>CLEANING",https://test.tgp.crs/item_images/175083/175083.jpg,14.90,7.60,12.70,3,3.78,LT
"1 - GROCERY",SOUP,"11 - CANNED SOUP CONDENSED","201 - CANNED SOUP COND CAMP CORE 284ML",196287,6321100011,063211000115,"CAMP TOMATO SOUP",37.36,62.93,84.96,99.43,EDM,321,EDM196287,"Bulk Foods & Wholesale Grocery>SOUP",https://test.tgp.crs/item_images/196287/196287.jpg,16.10,10.70,7.90,48,284,ML
"1 - GROCERY",SOUP,"16 - CANNED SOUP FAMILY PACK","200 - CAN SOUP FAMPAK CAMP 12PKS",161786,6321102683,063211026832,"CAMP MUSH SOUP 12/284 ML",9.03,11.60,15.66,18.33,EDM,3129,EDM161786,"Bulk Foods & Wholesale Grocery>SOUP",https://test.tgp.crs/item_images/161786/161786.jpg,10.70,8.20,4.10,1,12,EA
"1 - GROCERY",SOUP,"21 - CANNED SOUP CHUNKY/RTS/HEARTY","200 - CAN SOUP CAMP CHUNKY 540ML",307710,6321100552,063211005523,"CAMP CHNKY CHKN NDLE RTS",34.08,69.01,93.16,109.04,EDM,185,EDM307710,"Bulk Foods & Wholesale Grocery>SOUP",https://test.tgp.crs/item_images/307710/307710.jpg,13.70,10.20,9.20,24,540,ML
"1 - GROCERY",SOUP,"28 - CANNED SOUP TIM HORTONS","100 - CANNED SOUP TIM HORTONS RTS 540ML",6238901,6320912635,063209126353,"TIM HORTONS CR OF BROCOLI SOUP",14.99,30.12,40.66,47.59,EDM,77,EDM6238901,"Bulk Foods & Wholesale Grocery>SOUP",https://test.tgp.crs/item_images/6238901/6238901.jpg,13.70,10.30,4.70,12,540,ML
"1 - GROCERY",SOUP,"31 - TETRA BROTH","200 - TETRA BROTH CAMP 900ML",365320,6321112114,063211121148,"CAMP BROTH CHICKEN",25.48,28.09,37.92,44.38,EDM,462,EDM365320,"Bulk Foods & Wholesale Grocery>SOUP",https://test.tgp.crs/item_images/365320/365320.jpg,14.90,7.50,8.20,12,900,ML
"1 - GROCERY",SOUP,"36 - TETRA STOCK","200 - T.STOCK KITCHEN BASICS 946ML",537472,61144344001,611443440010,"KITCHEN BASICS-CHICKEN    STOCK",25.68,30.32,40.93,47.91,EDM,87,EDM537472,"Bulk Foods & Wholesale Grocery>SOUP",https://test.tgp.crs/item_images/537472/537472.jpg,7.80,14.60,8.20,12,946,ML
"1 - GROCERY",SOUP,"41 - TETRA SOUP CAMP","100 - TETRA SOUP CAMP EDG 500ML",730325,6321114317,063211143171,"CAMP EG GOLDEN BUTNT SQSH 500ML",10.71,20.18,27.24,31.88,EDM,105,EDM730325,"Bulk Foods & Wholesale Grocery>SOUP",https://test.tgp.crs/item_images/730325/730325.jpg,7.90,6.20,5.50,8,500,ML
"1 - GROCERY",SOUP,"61 - DRY SOUP MIX","200 - DRY SOUP MIX LIPTON 2EA",162057,6840000023,068400000235,"LIPT BEEF VEG NDLE SOUP",9.78,37.13,50.13,58.67,EDM,55,EDM162057,"Bulk Foods & Wholesale Grocery>SOUP",https://test.tgp.crs/item_images/162057/162057.jpg,15.60,9.60,5.00,24,2,EA
"1 - GROCERY",SOUP,"66 - DRY SOUP STOCK","200 - DRY SOUP STOCK OXO 170GR",6275630,6840000153,068400001539,"OXO /KNORR CHICKEN IN -A- MUG",7.03,30.49,41.16,48.17,EDM,89,EDM6275630,"Bulk Foods & Wholesale Grocery>SOUP",,10.40,7.70,1.90,12,225,GR
"1 - GROCERY",SOUP,"71 - DRY SOUP BROTH","995 - DRY SOUP BROTH FOODSERVICE",577437,6280215502,062802155029,"LYNCH BASE CHKN SOUPGF",26.70,81.90,110.57,129.4,EDM,7,EDM577437,"Bulk Foods & Wholesale Grocery>SOUP",https://test.tgp.crs/item_images/577437/577437.jpg,15.20,10.00,7.50,12,2,LB
"1 - GROCERY",SOUP,"76 - INSTANT NOODLES PACKAGED","300 - INSTANT NDLES PKG SAPP 100GR",198051,7618603000,076186030001,"SAPP ICH BEEF NDLE FLAT",6.21,15.64,21.11,24.71,EDM,979,EDM198051,"Bulk Foods & Wholesale Grocery>SOUP",https://test.tgp.crs/item_images/198051/198051.jpg,14.90,10.90,4.90,24,100,GR
"1 - GROCERY",SOUP,"81 - INSTANT NOODLES BOWL","100 - INST NOODLES CUP MR.NOOD 64GR",150185,5949100250,059491002505,"MR NOODLE CUP CHICKEN",3.60,11.08,14.96,17.51,EDM,188,EDM150185,"Bulk Foods & Wholesale Grocery>SOUP",https://test.tgp.crs/item_images/150185/150185.jpg,15.50,11.50,4.50,12,64,GR
"1 - GROCERY",SOUP,"85 - GLASS JAR SOUPS","100 - LEGH'S EUROPEAN CLASSIC SOUPS",2442945,62805592100,628055921004,"LEGH S SOUP GF  UKRAINIAN  BORSCHT",23.14,27.74,37.45,43.83,CAL,330,CAL2442945,"Bulk Foods & Wholesale Grocery>SOUP",https://test.tgp.crs/item_images/2442945/2442945.jpg,14.10,9.80,5.30,8,720,ML
"1 - GROCERY",SOUP,"87 - GLASS JAR BROTHS","100 - GLASS JAR BROTHS MY BUTCHER 700ML",6238927,5526602181,055266021818,"MY BUTCHER BEEF BONE      BROTH",10.40,29.98,40.47,47.37,EDM,41,EDM6238927,"Bulk Foods & Wholesale Grocery>SOUP",https://test.tgp.crs/item_images/6238927/6238927.jpg,11.20,7.40,6.60,6,700,ML
"1 - GROCERY",SOUP,"91 - ORGANIC SOUP","400 - ORGANIC SOUP PACIFIC 1L",773937,5260305409,052603054096,"PACIFIC ORGC TOMATO SOUP",11.00,57.02,76.98,90.09,CAL,108,CAL773937,"Bulk Foods & Wholesale Grocery>SOUP",https://test.tgp.crs/item_images/773937/773937.jpg,14.60,7.90,8.80,12,1,LT
"1 - GROCERY","JUICES, DRINKS & POWDERS","11 - JUICE SINGLE SERVE","110 - JCE SSERV APPLE PURE SRYPE 200ML",884759,5796100303,057961003038,"S/RYPE PURE APPLE JUICE 200 ML",19.62,14.44,19.49,22.82,EDM,537,EDM884759,"Bulk Foods & Wholesale Grocery>JUICES, DRINKS & POWDERS",https://test.tgp.crs/item_images/884759/884759.jpg,13.10,9.80,4.80,8,5,EA
"1 - GROCERY","JUICES, DRINKS & POWDERS","25 - JUICE ORGANIC","220 - JCE ORGNC PURE KNUDSEN CRAN 946ML",6221477,7468212350,074682123500,"KNUDSEN JUST CRANBERRY",19.29,43.29,58.44,68.4,CAL,61,CAL6221477,"Bulk Foods & Wholesale Grocery>JUICES, DRINKS & POWDERS",https://test.tgp.crs/item_images/6221477/6221477.jpg,15.30,11.80,8.20,6,946,ML
"1 - GROCERY","JUICES, DRINKS & POWDERS","31 - JUICE TOMATO & VEGETABLE","110 - JCE TMTO & VEG CLAM MOTTS 1.89L",663922,6591200620,065912006205,"MOTT CLAMATO REG CLAM PET PL",35.93,32.15,43.4,50.8,EDM,1387,EDM663922,"Bulk Foods & Wholesale Grocery>JUICES, DRINKS & POWDERS",https://test.tgp.crs/item_images/663922/663922.jpg,19.00,9.50,9.90,8,1.89,LT
"1 - GROCERY","JUICES, DRINKS & POWDERS","41 - JUICE LEMON/LIME JUICE","105 - JCE LMN/LME JCE REALEMON 125ML",173179,6591258100,065912581009,"REALEMON LEMON JUICE",8.84,14.36,19.39,22.69,EDM,60,EDM173179,"Bulk Foods & Wholesale Grocery>JUICES, DRINKS & POWDERS",https://test.tgp.crs/item_images/173179/173179.jpg,11.50,7.50,6.60,24,125,ML
"1 - GROCERY","JUICES, DRINKS & POWDERS","80 - JUICE-COCONUT WATER","130 - JUICE-COCONUT WATER VITACOCO 1L",620450,89899900050,898999000503,"VITA COCO COCONUT WATER",26.96,41.19,55.61,65.08,CAL,58,CAL620450,"Bulk Foods & Wholesale Grocery>JUICES, DRINKS & POWDERS",https://test.tgp.crs/item_images/620450/620450.jpg,12.20,9.50,9.90,12,1,LT
"1 - GROCERY","PET FOOD","11 - CAT FOOD-CANNED","210 - CAT FD CANNED MED FRISKIES",417709,5636600686,056366006866,"FRISKIES CHCKN CATFOOD",9.39,18.13,24.48,28.65,EDM,83,EDM417709,"Pet Food and Supplies>PET FOOD",https://test.tgp.crs/item_images/417709/417709.jpg,13.70,10.40,3.20,24,156,GR
"1 - GROCERY","PET FOOD","21 - CAT FOOD-DRY","340 - CAT FD DRY PREM FRISKIES 1.5KG",238014,5636622202,056366222020,"FRISKIES CHEFS BLEND",20.37,28.67,38.7,45.3,EDM,84,EDM238014,"Pet Food and Supplies>PET FOOD",https://test.tgp.crs/item_images/238014/238014.jpg,14.90,10.90,7.90,6,1.5,KG
"1 - GROCERY","PET FOOD","31 - CAT TREATS","310 - CAT TREATS-TEMPTATIONS 180GR",489765,5849672300,058496723002,"WHISKAS TEMPTATION CHCKEN",4.96,29.40,39.69,46.45,EDM,39,EDM489765,"Pet Food and Supplies>PET FOOD",https://test.tgp.crs/item_images/489765/489765.jpg,12.90,8.30,8.60,10,180,GR
"1 - GROCERY","PET FOOD","51 - DOG FOOD-CANNED","110 - DOG FD CAN SM CESAR 100G",663153,5849672325,058496723255,"CESAR BEEF",6.72,22.95,30.98,36.26,EDM,21,EDM663153,"Pet Food and Supplies>PET FOOD",https://test.tgp.crs/item_images/663153/663153.jpg,7.80,12.20,4.00,24,100,GR
"1 - GROCERY","PET FOOD","61 - DOG FOOD-DRY","600 - DOG FD DRY ALPO 7.2KG",470708,5000005559,050000055593,"ALPO COOKOUT CLASSIC 7.2",16.53,14.31,19.32,22.61,EDM,166,EDM470708,"Pet Food and Supplies>PET FOOD",https://test.tgp.crs/item_images/470708/470708.jpg,3.50,15.50,21.00,1,7.2,KG
